ticker,name,composite_score,grade,sd_score,inst_score,tech_score,fund_score,analyst_score,rs_score,current_price,target_upside,rank
BALL,Ball Corporation,79.1,A (Buy),95,70,68,75,75,90,67.76,3.5,1
CF,"CF Industries Holdings, Inc.",77.8,A (Buy),80,65,90,90,50,83,96.31,-5.3,2
MRK,"Merck & Co., Inc.",77.8,A (Buy),90,70,73,75,75,80,117.15,5.5,3
CTRA,Coterra Energy Inc.,77.6,A (Buy),90,65,68,85,75,83,30.56,7.5,4
FITB,Fifth Third Bancorp,77.6,A (Buy),85,60,83,75,75,90,54.5,4.9,5
HBAN,Huntington Bancshares Incorporated,77.1,A (Buy),85,60,83,80,80,73,18.57,10.4,6
DTE,DTE Energy Company,76.8,A (Buy),75,70,90,80,75,65,137.84,6.9,7
DVN,Devon Energy Corporation,76.8,A (Buy),90,65,68,75,75,90,43.48,9.3,8
GILD,"Gilead Sciences, Inc.",76.1,A (Buy),85,70,68,75,70,90,147.23,-1.0,9
ROST,"Ross Stores, Inc.",76.0,A (Buy),75,70,90,70,75,73,192.33,3.4,10
FDX,FedEx Corporation,75.8,A (Buy),90,70,68,75,55,90,367.95,-10.6,11
WM,"Waste Management, Inc.",75.8,A (Buy),85,70,80,65,75,73,231.72,8.6,12
IEX,IDEX Corporation,75.8,A (Buy),95,65,68,60,75,90,214.58,4.2,13
VZ,Verizon Communications Inc.,75.6,A (Buy),85,65,68,75,75,90,47.39,4.1,14
MOS,The Mosaic Company,75.6,A (Buy),75,65,73,85,75,90,30.12,7.2,15
CMCSA,Comcast Corporation,75.3,A (Buy),85,70,68,80,55,90,32.31,2.3,16
TER,"Teradyne, Inc.",75.3,A (Buy),95,65,68,60,70,90,304.89,-1.1,17
OKE,"ONEOK, Inc.",75.3,A (Buy),85,60,68,80,75,90,83.46,4.6,18
KEY,KeyCorp,75.3,A (Buy),80,70,73,75,75,80,22.94,6.6,19
JNJ,Johnson & Johnson,75.1,A (Buy),85,65,68,75,70,90,238.35,-3.0,20
CL,Colgate-Palmolive Company,75.1,A (Buy),85,70,68,65,75,90,93.93,1.5,21
DE,Deere & Company,75.1,A (Buy),90,70,68,70,55,90,593.41,-11.0,22
PNC,"The PNC Financial Services Group, Inc.",75.1,A (Buy),75,70,73,75,75,90,240.33,3.5,23
T,AT&T Inc.,74.9,A (Buy),85,65,68,75,75,83,27.41,7.0,24
AMGN,Amgen Inc.,74.9,A (Buy),85,70,73,65,70,83,364.65,-5.7,25
PG,The Procter & Gamble Company,74.9,A (Buy),85,65,68,75,75,83,159.08,5.3,26
CB,Chubb Limited,74.9,A (Buy),85,70,68,75,75,73,326.25,3.1,27
BKR,Baker Hughes Company,74.8,A (Buy),85,65,68,70,75,90,59.15,1.0,28
LNT,Alliant Energy Corporation,74.8,A (Buy),80,65,83,75,75,65,68.01,6.5,29
CMI,Cummins Inc.,74.5,A (Buy),85,70,70,65,75,80,588.07,3.2,30
SYY,Sysco Corporation,74.3,A (Buy),80,65,68,75,75,90,87.62,2.6,31
MTB,M&T Bank Corporation,74.3,A (Buy),85,65,68,70,70,90,236.21,-1.7,32
EOG,"EOG Resources, Inc.",74.1,A (Buy),80,70,83,60,80,65,112.7,17.7,33
KMI,"Kinder Morgan, Inc.",74.1,A (Buy),85,65,68,70,75,83,31.01,2.9,34
WEC,"WEC Energy Group, Inc.",74.1,A (Buy),85,65,73,75,75,65,112.92,7.3,35
HUBB,Hubbell Incorporated,74.1,A (Buy),85,65,73,70,75,73,503.1,5.9,36
EQR,Equity Residential,73.9,A (Buy),80,70,73,70,75,73,65.57,6.6,37
ITW,Illinois Tool Works Inc.,73.8,A (Buy),90,70,68,65,50,90,294.25,-6.2,38
FE,FirstEnergy Corp.,73.8,A (Buy),70,65,90,75,75,65,47.66,5.4,39
AME,"AMETEK, Inc.",73.8,A (Buy),80,70,68,65,75,90,233.11,6.5,40
MAA,"Mid-America Apartment Communities, Inc.",73.8,A (Buy),85,65,90,55,75,58,136.45,7.2,41
TXT,Textron Inc.,73.7,A (Buy),75,65,83,75,75,66,95.87,2.0,42
NEE,"NextEra Energy, Inc.",73.6,A (Buy),85,70,68,65,75,75,90.83,2.0,43
MHK,"Mohawk Industries, Inc.",73.6,A (Buy),85,65,68,65,70,90,136.9,-1.3,44
TFC,Truist Financial Corporation,73.6,A (Buy),80,65,68,70,75,90,55.1,2.4,45
PPG,"PPG Industries, Inc.",73.6,A (Buy),85,65,68,75,70,75,129.14,-4.2,46
NOC,Northrop Grumman Corporation,73.5,A (Buy),75,70,70,75,75,80,685.0,5.8,47
REG,Regency Centers Corporation,73.4,A (Buy),85,65,68,65,75,83,77.07,3.9,48
MDLZ,"Mondelez International, Inc.",73.4,A (Buy),85,70,68,55,80,83,60.65,10.0,49
PFE,Pfizer Inc.,73.4,A (Buy),90,65,73,50,75,83,27.61,3.7,50
CFG,"Citizens Financial Group, Inc.",73.3,A (Buy),75,65,73,70,75,90,67.55,7.6,51
UNP,Union Pacific Corporation,73.3,A (Buy),85,65,68,60,75,90,261.32,1.2,52
EIX,Edison International,73.1,A (Buy),75,70,68,80,75,73,65.46,2.6,53
RMD,ResMed Inc.,72.9,A (Buy),80,60,83,70,80,58,263.54,12.9,54
USB,U.S. Bancorp,72.8,A (Buy),70,70,68,75,75,90,60.55,4.7,55
IR,Ingersoll Rand Inc.,72.8,A (Buy),90,65,73,45,70,90,97.8,-7.8,56
RF,Regions Financial Corporation,72.8,A (Buy),85,65,68,80,50,80,30.82,-0.5,57
CI,The Cigna Group,72.7,A (Buy),70,70,73,80,80,66,287.81,15.1,58
SPG,"Simon Property Group, Inc.",72.6,A (Buy),70,70,68,85,75,73,196.3,2.5,59
GNRC,Generac Holdings Inc.,72.6,A (Buy),80,65,83,45,80,83,182.3,11.3,60
CARR,Carrier Global Corporation,72.6,A (Buy),90,70,68,45,75,83,65.82,9.2,61
CSCO,"Cisco Systems, Inc.",72.6,A (Buy),75,70,68,65,75,90,86.29,1.0,62
PEP,"PepsiCo, Inc.",72.6,A (Buy),90,65,68,65,55,83,166.97,1.3,63
EMN,Eastman Chemical Company,72.6,A (Buy),90,65,68,50,70,90,80.59,-5.4,64
AES,The AES Corporation,72.4,A (Buy),80,65,68,70,70,83,16.25,-4.4,65
ALLE,Allegion plc,72.4,A (Buy),80,65,68,80,55,83,178.94,1.3,66
KO,The Coca-Cola Company,72.4,A (Buy),85,65,68,65,75,73,76.81,5.5,67
CME,CME Group Inc.,72.4,A (Buy),90,70,68,60,50,83,306.76,-3.3,68
AOS,A. O. Smith Corporation,72.3,A (Buy),85,65,68,70,50,90,80.47,-1.4,69
COP,ConocoPhillips,72.3,A (Buy),80,70,68,55,75,90,107.5,6.8,70
GLW,Corning Incorporated,72.3,A (Buy),85,70,68,60,55,90,128.1,-10.6,71
GEV,GE Vernova Inc.,72.3,A (Buy),80,70,68,55,75,90,790.79,4.5,72
PSA,Public Storage,72.3,A (Buy),75,70,83,60,75,65,292.33,4.4,73
CSX,CSX Corporation,72.3,A (Buy),85,70,68,50,70,90,40.9,-2.6,74
STX,Seagate Technology Holdings plc,72.2,A (Buy),80,65,70,55,80,90,396.23,18.0,75
JCI,Johnson Controls International plc,72.2,A (Buy),85,70,68,50,75,83,138.75,2.4,76
CLX,The Clorox Company,72.1,A (Buy),90,65,68,60,50,90,121.45,-0.8,77
XOM,Exxon Mobil Corporation,72.1,A (Buy),85,65,68,55,70,90,151.59,-7.0,78
CPT,Camden Property Trust,72.1,A (Buy),75,65,90,55,75,66,110.41,4.5,79
TDY,Teledyne Technologies Incorporated,72.1,A (Buy),75,70,73,55,75,90,659.92,2.1,80
DUK,Duke Energy Corporation,72.1,A (Buy),80,65,73,70,75,65,123.64,8.7,81
MSI,"Motorola Solutions, Inc.",71.9,A (Buy),85,70,68,65,60,73,419.69,16.3,82
FANG,"Diamondback Energy, Inc.",71.9,A (Buy),75,60,73,85,55,83,164.89,9.9,83
DRI,"Darden Restaurants, Inc.",71.9,A (Buy),65,65,83,75,75,73,210.24,5.8,84
HST,"Host Hotels & Resorts, Inc.",71.9,A (Buy),80,65,68,70,75,73,19.93,1.2,85
MU,"Micron Technology, Inc.",71.8,A (Buy),80,70,55,75,75,80,373.25,2.4,86
TXN,Texas Instruments Incorporated,71.8,A (Buy),85,70,68,60,50,90,220.92,-1.0,87
HSY,The Hershey Company,71.8,A (Buy),95,65,68,50,50,90,229.0,-1.0,88
CDW,CDW Corporation,71.8,A (Buy),90,65,53,75,80,65,142.85,19.3,89
CAT,Caterpillar Inc.,71.8,A (Buy),75,65,68,70,70,90,742.37,-6.7,90
BMY,Bristol-Myers Squibb Company,71.8,A (Buy),80,70,68,75,50,80,60.86,-1.6,91
NUE,Nucor Corporation,71.8,A (Buy),80,65,73,55,70,90,191.99,-3.1,92
AEE,Ameren Corporation,71.8,A (Buy),65,65,83,80,75,65,105.78,5.6,93
AMCR,Amcor plc,71.7,A (Buy),80,60,68,65,80,83,48.53,13.8,94
CBOE,"Cboe Global Markets, Inc.",71.6,A (Buy),80,70,83,65,55,58,274.07,2.3,95
UPS,"United Parcel Service, Inc.",71.6,A (Buy),80,65,68,60,70,90,118.7,-4.7,96
LH,Labcorp Holdings Inc.,71.6,A (Buy),80,65,73,60,75,75,284.5,5.5,97
GWW,"W.W. Grainger, Inc.",71.6,A (Buy),95,60,68,65,50,75,1188.03,-4.8,98
DOV,Dover Corporation,71.6,A (Buy),80,65,68,60,70,90,229.48,-1.5,99
KEYS,"Keysight Technologies, Inc.",71.6,A (Buy),75,70,73,55,70,90,235.0,-6.1,100
HON,Honeywell International Inc.,71.6,A (Buy),80,70,68,50,75,90,243.34,0.1,101
MKC,"McCormick & Company, Incorporated",71.4,A (Buy),80,70,68,70,75,58,68.96,5.2,102
GPC,Genuine Parts Company,71.4,A (Buy),80,65,68,60,75,83,146.68,0.7,103
CHD,"Church & Dwight Co., Inc.",71.4,A (Buy),80,65,68,60,75,83,98.97,2.5,104
ACGL,Arch Capital Group Ltd.,71.4,A (Buy),65,70,73,75,80,73,97.85,10.4,105
HIG,"The Hartford Insurance Group, Inc.",71.4,A (Buy),80,70,53,80,75,73,141.63,5.6,106
XEL,Xcel Energy Inc.,71.3,A (Buy),75,65,83,70,60,65,77.5,13.2,107
STLD,"Steel Dynamics, Inc.",71.3,A (Buy),80,65,73,65,50,90,201.12,-4.0,108
VTRS,Viatris Inc.,71.3,A (Buy),90,70,68,45,55,90,15.95,-12.9,109
WMB,"The Williams Companies, Inc.",71.2,A (Buy),75,70,68,60,75,83,68.84,1.3,110
ECL,Ecolab Inc.,71.2,A (Buy),75,70,68,60,75,83,299.62,1.9,111
WDC,Western Digital Corporation,71.2,A (Buy),75,55,70,70,80,90,262.56,19.4,112
DVA,DaVita Inc.,71.2,A (Buy),95,40,68,80,55,83,139.28,8.9,113
MPWR,"Monolithic Power Systems, Inc.",71.1,A (Buy),70,65,83,60,60,90,1142.02,16.3,114
PTC,PTC Inc.,71.1,A (Buy),75,65,68,85,80,50,162.72,19.8,115
SWK,"Stanley Black & Decker, Inc.",71.1,A (Buy),90,65,68,40,70,90,91.76,-1.8,116
PM,Philip Morris International Inc.,71.1,A (Buy),75,70,68,55,75,90,182.69,2.8,117
PKG,Packaging Corporation of America,71.1,A (Buy),75,65,68,65,70,90,241.78,-4.1,118
PEG,Public Service Enterprise Group Incorporated,71.1,A (Buy),70,65,73,80,75,65,83.2,6.5,119
NEM,Newmont Corporation,71.0,A (Buy),60,70,70,80,80,80,121.53,10.2,120
PLD,"Prologis, Inc.",70.9,A (Buy),85,70,73,45,70,73,140.48,-0.8,121
ALGN,"Align Technology, Inc.",70.8,A (Buy),75,65,68,60,75,90,196.27,1.2,122
CPAY,"Corpay, Inc.",70.8,A (Buy),60,65,73,85,75,80,356.38,8.0,123
LIN,Linde plc,70.8,A (Buy),85,70,60,60,80,66,460.51,10.8,124
EMR,Emerson Electric Co.,70.8,A (Buy),70,70,73,55,75,90,161.69,2.5,125
NDSN,Nordson Corporation,70.8,A (Buy),85,65,68,60,50,90,295.8,-7.2,126
AMT,American Tower Corporation,70.8,A (Buy),75,70,70,65,85,58,178.51,21.8,127
AVY,Avery Dennison Corporation,70.7,A (Buy),65,70,73,75,80,66,190.67,11.1,128
PFG,"Principal Financial Group, Inc.",70.7,A (Buy),80,65,83,60,55,66,93.64,0.2,129
KIM,Kimco Realty Corporation,70.7,A (Buy),80,65,73,55,75,73,22.19,7.0,130
GIS,"General Mills, Inc.",70.6,A (Buy),85,65,68,65,55,75,48.66,7.7,131
ETN,Eaton Corporation plc,70.6,A (Buy),70,70,68,70,75,75,377.47,7.0,132
LMT,Lockheed Martin Corporation,70.5,A (Buy),85,65,60,65,55,90,629.56,4.5,133
MO,"Altria Group, Inc.",70.4,A (Buy),80,65,73,50,70,83,64.4,-1.8,134
FRT,Federal Realty Investment Trust,70.4,A (Buy),80,65,68,60,75,73,107.65,4.5,135
ED,"Consolidated Edison, Inc.",70.4,A (Buy),80,60,73,70,50,83,108.43,-3.0,136
SLB,SLB N.V.,70.2,A (Buy),65,65,70,70,75,90,50.32,7.5,137
C,Citigroup Inc.,70.2,A (Buy),70,70,68,65,80,73,122.15,10.2,138
KVUE,Kenvue Inc.,70.2,A (Buy),90,65,68,55,55,73,18.32,3.3,139
HSIC,"Henry Schein, Inc.",70.2,A (Buy),80,65,83,55,50,73,81.02,-3.6,140
HAS,"Hasbro, Inc.",70.1,A (Buy),85,65,68,55,50,90,104.0,-0.9,141
NXPI,NXP Semiconductors N.V.,70.0,A (Buy),75,65,70,65,80,65,236.62,10.4,142
AZO,"AutoZone, Inc.",70.0,A (Buy),80,70,70,55,80,58,3664.84,14.5,143
BBWI,"Bath & Body Works, Inc.",69.9,B (Accumulate),75,65,83,55,75,58,22.48,9.5,144
SHW,The Sherwin-Williams Company,69.9,B (Accumulate),65,70,83,65,75,58,364.65,6.2,145
FAST,Fastenal Company,69.9,B (Accumulate),80,65,73,60,50,83,46.66,-4.2,146
O,Realty Income Corporation,69.9,B (Accumulate),80,65,73,50,75,73,63.9,0.6,147
CHRW,"C.H. Robinson Worldwide, Inc.",69.8,B (Accumulate),85,65,68,40,70,90,196.61,-1.7,148
SNA,Snap-on Incorporated,69.8,B (Accumulate),80,65,70,70,50,73,377.41,-1.6,149
PNW,Pinnacle West Capital Corporation,69.7,B (Accumulate),70,65,83,65,55,73,95.2,0.8,150
MCD,McDonald's Corporation,69.7,B (Accumulate),80,65,68,55,75,73,325.97,3.0,151
NSC,Norfolk Southern Corporation,69.7,B (Accumulate),90,60,68,55,50,83,315.45,-2.3,152
KDP,Keurig Dr Pepper Inc.,69.7,B (Accumulate),80,65,58,70,80,66,28.71,19.9,153
LW,"Lamb Weston Holdings, Inc.",69.6,B (Accumulate),85,65,53,75,75,60,50.58,8.0,154
COR,"Cencora, Inc.",69.6,B (Accumulate),65,70,83,55,80,65,360.0,11.5,155
MDT,Medtronic plc,69.6,B (Accumulate),65,70,83,55,80,65,101.42,10.3,156
CE,Celanese Corporation,69.6,B (Accumulate),90,65,68,30,70,90,58.32,-6.2,157
D,"Dominion Energy, Inc.",69.6,B (Accumulate),80,65,73,70,50,65,63.79,-0.5,158
DECK,Deckers Outdoor Corporation,69.6,B (Accumulate),55,65,73,75,80,90,115.51,11.3,159
TT,Trane Technologies plc,69.4,B (Accumulate),65,70,68,65,75,83,461.38,4.0,160
HII,"Huntington Ingalls Industries, Inc.",69.3,B (Accumulate),85,65,55,65,70,73,399.37,-2.1,161
KR,The Kroger Co.,69.3,B (Accumulate),80,65,73,45,75,75,68.02,8.1,162
BWA,BorgWarner Inc.,69.3,B (Accumulate),80,65,68,45,70,90,53.98,-6.4,163
JBL,Jabil Inc.,69.3,B (Accumulate),65,65,83,60,55,90,258.93,2.2,164
RSG,"Republic Services, Inc.",69.2,B (Accumulate),75,70,73,60,55,73,223.07,9.5,165
YUM,"Yum! Brands, Inc.",69.2,B (Accumulate),80,65,73,55,75,58,158.85,7.1,166
MPC,Marathon Petroleum Corporation,69.1,B (Accumulate),80,60,68,60,70,75,204.15,-2.3,167
FTV,Fortive Corporation,69.1,B (Accumulate),90,65,68,40,50,90,61.92,-0.2,168
LOW,"Lowe's Companies, Inc.",69.0,B (Accumulate),65,70,70,65,70,80,284.67,-1.2,169
BK,The Bank of New York Mellon Corporation,68.9,B (Accumulate),60,70,73,70,75,73,126.45,4.9,170
STT,State Street Corporation,68.9,B (Accumulate),55,70,83,75,75,58,132.23,8.6,171
OTIS,Otis Worldwide Corporation,68.9,B (Accumulate),65,70,83,55,80,58,90.06,13.8,172
MAR,"Marriott International, Inc.",68.8,B (Accumulate),70,60,68,65,70,90,359.35,-3.9,173
RCL,Royal Caribbean Cruises Ltd.,68.8,B (Accumulate),55,65,68,80,75,90,347.3,4.5,174
TGT,Target Corporation,68.8,B (Accumulate),80,65,73,65,35,80,113.23,-10.1,175
CAH,"Cardinal Health, Inc.",68.7,B (Accumulate),55,70,83,60,80,73,220.27,12.5,176
PWR,"Quanta Services, Inc.",68.7,B (Accumulate),70,65,73,55,70,83,510.64,-6.2,177
EQT,EQT Corporation,68.6,B (Accumulate),65,65,68,75,80,65,55.39,15.3,178
CNP,"CenterPoint Energy, Inc.",68.6,B (Accumulate),75,65,73,55,75,65,40.97,3.7,179
CVX,Chevron Corporation,68.6,B (Accumulate),80,65,68,40,70,90,182.26,-0.3,180
IFF,International Flavors & Fragrances Inc.,68.6,B (Accumulate),80,65,73,30,75,90,76.76,7.2,181
IP,International Paper Company,68.6,B (Accumulate),75,55,73,55,70,90,48.0,-2.4,182
MTCH,"Match Group, Inc.",68.4,B (Accumulate),70,65,68,70,80,58,32.49,12.3,183
